# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x100244ae | 19 | ASCII | GetModuleFileNameA
0x100244c4 | 9 | ASCII | lstrcatA
0x100244d0 | 19 | ASCII | GetModuleFileNameW
0x100244e6 | 9 | ASCII | lstrcatW
0x100244f2 | 23 | ASCII | WaitForMultipleObjects
0x1002450a | 13 | ASCII | KERNEL32.dll
0x1002451a | 28 | ASCII | StartServiceCtrlDispatcherA
0x10024538 | 17 | ASCII | SetServiceStatus
0x1002454c | 30 | ASCII | RegisterServiceCtrlHandlerExA
0x1002456c | 15 | ASCII | OpenSCManagerA
0x1002457e | 15 | ASCII | CreateServiceA
0x10024590 | 22 | ASCII | ChangeServiceConfig2A
0x100245a8 | 15 | ASCII | CreateServiceW
0x100245ba | 22 | ASCII | ChangeServiceConfig2W
0x100245d2 | 13 | ASCII | OpenServiceA
0x100245e2 | 14 | ASCII | DeleteService
0x100245f2 | 13 | ASCII | OpenServiceW
0x10024600 | 13 | ASCII | ADVAPI32.dll
0x10024610 | 13 | ASCII | ??3@YAXPAX@Z
0x10024620 | 10 | ASCII | _purecall
0x1002462c | 15 | ASCII | _vswprintf_c_l
0x1002464e | 30 | ASCII | ??0exception@std@@QAE@ABQBD@Z
0x1002466e | 25 | ASCII | ??1exception@std@@UAE@XZ
0x1002468a | 10 | ASCII | memmove_s
0x10024696 | 13 | ASCII | ??2@YAPAXI@Z
0x100246a6 | 14 | ASCII | ??_U@YAPAXI@Z
0x100246b6 | 14 | ASCII | ??_V@YAXPAX@Z
0x100246c6 | 25 | ASCII | ??0exception@std@@QAE@XZ
0x100246e2 | 31 | ASCII | ??0exception@std@@QAE@ABV01@@Z
0x10024704 | 26 | ASCII | _invalid_parameter_noinfo
0x10024720 | 12 | ASCII | _wstrtime_s
0x1002472e | 12 | ASCII | _wstrdate_s
0x1002473c | 7 | ASCII | malloc
0x10024746 | 8 | ASCII | wprintf
0x10024750 | 30 | ASCII | ?what@exception@std@@UBEPBDXZ
0x10024770 | 36 | ASCII | ??4exception@std@@QAEAAV01@ABV01@@Z
0x10024796 | 15 | ASCII | _beginthreadex
0x100247a8 | 31 | ASCII | ??0exception@std@@QAE@ABQBDH@Z
0x100247ca | 8 | ASCII | realloc
0x100247d4 | 6 | ASCII | _wtoi
0x100247dc | 8 | ASCII | _wtoi64
0x100247e6 | 6 | ASCII | _wtof
0x100247ee | 15 | ASCII | _localtime64_s
0x10024800 | 8 | ASCII | _time64
0x1002480a | 9 | ASCII | strcpy_s
0x10024816 | 11 | ASCII | vsprintf_s
0x10024824 | 65 | ASCII | ?_set_se_translator@@YAP6AXIPAU_EXCEPTION_POINTERS@@@ZP6AXI0@Z@Z
0x10024868 | 8 | ASCII | sprintf
0x10024872 | 10 | ASCII | setlocale
0x1002487e | 8 | ASCII | _unlock
0x10024888 | 16 | ASCII | _encode_pointer
0x1002489a | 12 | ASCII | __dllonexit
0x100248a8 | 6 | ASCII | _lock
0x100248b0 | 8 | ASCII | _onexit
0x100248ba | 16 | ASCII | _decode_pointer
0x100248ca | 12 | ASCII | MSVCR80.dll
0x100248d8 | 18 | ASCII | ?terminate@@YAXXZ
0x100248ec | 19 | ASCII | __CxxFrameHandler3
0x10024902 | 12 | ASCII | _malloc_crt
0x10024910 | 14 | ASCII | _encoded_null
0x10024920 | 10 | ASCII | _initterm
0x1002492c | 12 | ASCII | _initterm_e
0x1002493a | 11 | ASCII | _amsg_exit
0x10024948 | 13 | ASCII | _adjust_fdiv
0x10024958 | 16 | ASCII | __CppXcptFilter
0x1002496a | 19 | ASCII | _crt_debugger_hook
0x10024980 | 24 | ASCII | _except_handler4_common
0x1002499a | 51 | ASCII | ?_type_info_dtor_internal_method@type_info@@QAEXXZ
0x100249d0 | 33 | ASCII | __clean_type_info_names_internal
0x100249f4 | 71 | ASCII | ??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
0x10024a3e | 74 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBD@Z
0x10024a8a | 77 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z
0x10024ada | 122 | ASCII | ??$?8DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z
0x10024b56 | 120 | ASCII | ??$?MDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0@Z
0x10024bd0 | 143 | ASCII | ?end@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ
0x10024c62 | 145 | ASCII | ?begin@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ
0x10024cf6 | 82 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z
0x10024d4a | 71 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
0x10024d94 | 129 | ASCII | ??$?8_WU?$char_traits@_W@std@@V?$allocator@_W@1@@std@@YA_NABV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@0@PB_W@Z
0x10024e18 | 126 | ASCII | ??$?M_WU?$char_traits@_W@std@@V?$allocator@_W@1@@std@@YA_NABV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@0@0@Z
0x10024e98 | 149 | ASCII | ?end@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBE?AV?$_String_const_iterator@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@XZ
0x10024f30 | 151 | ASCII | ?begin@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBE?AV?$_String_const_iterator@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@XZ
0x10024fca | 80 | ASCII | ??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE@ABV01@@Z
0x1002501c | 74 | ASCII | ??1?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE@XZ
0x10025068 | 78 | ASCII | ??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE@PB_W@Z
0x100250b8 | 124 | ASCII | ??$?HDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@0@Z
0x10025136 | 79 | ASCII | ??Y?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z
0x10025188 | 79 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z
0x100251da | 126 | ASCII | ??$?HDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@PBD@Z
0x1002525a | 56 | ASCII | ??1?$basic_iostream@DU?$char_traits@D@std@@@std@@UAE@XZ
0x10025294 | 103 | ASCII | ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QAE@PAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
0x100252fe | 51 | ASCII | ??0?$basic_ios@DU?$char_traits@D@std@@@std@@IAE@XZ
0x10025334 | 51 | ASCII | ??1?$basic_ios@DU?$char_traits@D@std@@@std@@UAE@XZ
0x1002536a | 33 | ASCII | ?pcount@strstreambuf@std@@QBEHXZ
0x1002538e | 35 | ASCII | ?freeze@strstreambuf@std@@QAEX_N@Z
0x100253b4 | 28 | ASCII | ??1strstreambuf@std@@UAE@XZ
0x100253d2 | 29 | ASCII | ??0strstreambuf@std@@QAE@H@Z
0x100253f0 | 12 | ASCII | MSVCP80.dll
0x100253fe | 18 | ASCII | MiniDumpWriteDump
0x10025410 | 12 | ASCII | dbghelp.dll
0x1002541e | 6 | ASCII | Sleep
0x10025426 | 27 | ASCII | InterlockedCompareExchange
0x10025444 | 17 | ASCII | TerminateProcess
0x10025458 | 25 | ASCII | UnhandledExceptionFilter
0x10025474 | 18 | ASCII | IsDebuggerPresent
0x10025488 | 24 | ASCII | QueryPerformanceCounter
0x100254a2 | 13 | ASCII | GetTickCount
0x100254b2 | 6 | ASCII | _itoa
0x100254ba | 7 | ASCII | memcpy
0x100254c4 | 19 | ASCII | _CxxThrowException
0x10026e58 | 12 | ASCII | Utility.dll
0x10026e64 | 43 | ASCII | ??0Ascii_To_Wide@Utility@Outpop@@QAE@PBD@Z
0x10026e8f | 40 | ASCII | ??0Auto_Event@Utility@Outpop@@QAE@PAX@Z
0x10026eb7 | 37 | ASCII | ??0Auto_Event@Utility@Outpop@@QAE@XZ
0x10026edc | 42 | ASCII | ??0Auto_Event@Utility@Outpop@@QAE@_NPBD@Z
0x10026f06 | 43 | ASCII | ??0Auto_Event@Utility@Outpop@@QAE@_NPB_W@Z
0x10026f31 | 56 | ASCII | ??0Barrier@Utility@Outpop@@QAE@W4barrier_type@12@HPBD@Z
0x10026f69 | 43 | ASCII | ??0Barrier_T@Utility@Outpop@@QAE@IPBDPAX@Z
0x10026f94 | 44 | ASCII | ??0Barrier_T@Utility@Outpop@@QAE@IPB_WPAX@Z
