# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1006c61a | 53 | ASCII | ?set_key_flag@Binary_Stream@Utility@Outpop@@QAEX_N@Z
0x1006c652 | 63 | ASCII | ?priority@Binary_Stream@Utility@Outpop@@QAE?AW4EPriority@23@XZ
0x1006c694 | 67 | ASCII | ?sequence@Binary_Stream@Utility@Outpop@@QAE?AW4ESequenceType@23@XZ
0x1006c6da | 52 | ASCII | ?get_reliable@Binary_Stream@Utility@Outpop@@QAE_NXZ
0x1006c710 | 71 | ASCII | ?set_packet_type@Binary_Stream@Utility@Outpop@@QAEXW4EPacketType@23@@Z
0x1006c75a | 66 | ASCII | ?sequence@Binary_Stream@Utility@Outpop@@QAEXW4ESequenceType@23@@Z
0x1006c79e | 62 | ASCII | ?priority@Binary_Stream@Utility@Outpop@@QAEXW4EPriority@23@@Z
0x1006c7de | 53 | ASCII | ?set_reliable@Binary_Stream@Utility@Outpop@@QAEX_N@Z
0x1006c816 | 55 | ASCII | ?set_reliable_id@Binary_Stream@Utility@Outpop@@QAEXG@Z
0x1006c850 | 55 | ASCII | ?set_sequence_id@Binary_Stream@Utility@Outpop@@QAEXI@Z
0x1006c88a | 130 | ASCII | ??0StreamException@Utility@Outpop@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HPAVoutpop_exception@12@@Z
0x1006c90e | 46 | ASCII | ?get_space@Stream_Base@Utility@Outpop@@QAEHXZ
0x1006c93e | 45 | ASCII | ?get_size@Stream_Base@Utility@Outpop@@QAEIXZ
0x1006c96e | 45 | ASCII | ?write@OS_Buffer@Utility@Outpop@@QAEHPBDHH@Z
0x1006c99e | 50 | ASCII | ??0outpop_exception@Utility@Outpop@@QAE@ABV012@@Z
0x1006c9d2 | 45 | ASCII | ??0win32_error@Utility@Outpop@@QAE@ABV012@@Z
0x1006ca02 | 49 | ASCII | ??0StreamException@Utility@Outpop@@QAE@ABV012@@Z
0x1006ca36 | 42 | ASCII | ??1StreamException@Utility@Outpop@@UAE@XZ
0x1006ca62 | 52 | ASCII | ?get_totallength@Stream_Base@Utility@Outpop@@QAEHXZ
0x1006ca98 | 59 | ASCII | ?instance@Sect_Block_Allocator@Utility@Outpop@@SAPAV123@XZ
0x1006cad6 | 39 | ASCII | ?sec@Time_Value@Utility@Outpop@@QBEJXZ
0x1006cb00 | 40 | ASCII | ?usec@Time_Value@Utility@Outpop@@QBEJXZ
0x1006cb2a | 216 | ASCII | ?schedule_repeating_timer@Timer_Queue@Utility@Outpop@@QAEJAAV?$Smart_Ptr@VTimer_Handler@Utility@Outpop@@@23@ABVTime_Value@23@AAV?$Smart_Ptr@VRef_Object@Utility@Outpop@@@23@W4EDispatchType@23@PAVDispatch_Thread@23@@Z
0x1006cc04 | 50 | ASCII | ?instance@Timer_Queue@Utility@Outpop@@SAPAV123@XZ
0x1006cc38 | 39 | ASCII | ??0Time_Value@Utility@Outpop@@QAE@JJ@Z
0x1006cc62 | 92 | ASCII | ?cont@Binary_Stream@Utility@Outpop@@QAE?AV?$Smart_Ptr@VBinary_Stream@Utility@Outpop@@@23@XZ
0x1006ccc0 | 46 | ASCII | ?write@Stream_Base@Utility@Outpop@@QAEHPBDH@Z
0x1006ccf0 | 106 | ASCII | ?set_all_protepoty@Binary_Stream@Utility@Outpop@@QAEXAAV?$Smart_Ptr@VBinary_Stream@Utility@Outpop@@@23@@Z
