# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x101bc0e8 | 11 | ASCII | Multiplier
0x101bc10c | 18 | ASCII | AttenuationFarEnd
0x101bc138 | 8 | ASCII | Falloff
0x101bc158 | 8 | ASCII | Hotspot
0x101bc1b8 | 7 | ASCII | NodeTM
0x101bc1f0 | 17 | ASCII | CustomProperties
0x101bc204 | 6 | ASCII | Actor
0x101bc240 | 8 | ASCII | BakedTM
0x101bc290 | 12 | ASCII | ExcludeList
0x101bc29c | 10 | ASCII | LightData
0x101bc2a8 | 12 | ASCII | ExcludeList
0x101bc2dc | 14 | ASCII | OcclusionList
0x101bc308 | 7 | ASCII | Script
0x101bc378 | 11 | ASCII | GeomObject
0x101bc384 | 11 | ASCII | StaticMesh
0x101bc390 | 7 | ASCII | noclip
0x101bc3a4 | 10 | ASCII | invisible
0x101bc3bc | 15 | ASCII | CollisionModel
0x101bc3d0 | 18 | ASCII | RelativeTransform
0x101bc414 | 6 | ASCII | Light
0x101bc41c | 6 | ASCII | Light
0x101bc424 | 19 | ASCII | SphericalHarmonics
0x101bc444 | 12 | ASCII | Script name
0x101bc450 | 10 | ASCII | Scripting
0x101bc464 | 23 | ASCII | Script includes model?
0x101bc47c | 10 | ASCII | Scripting
0x101bc488 | 13 | ASCII | IncludeModel
0x101bc498 | 17 | ASCII | Script Parameter
0x101bc4ac | 10 | ASCII | Scripting
0x101bc4b8 | 26 | ASCII | Unexpected type: %s on %s
0x101bc4f4 | 19 | ASCII | Loading Material: 
0x101bc538 | 8 | ASCII | Physics
0x101bc5a4 | 7 | ASCII | Shader
0x101bc5ec | 58 | ASCII | Material '%s' lacks shader, using Default Material values
0x101bc628 | 19 | ASCII | SphericalHarmonics
0x101bc63c | 11 | ASCII | InBlockers
0x101bc664 | 12 | ASCII | OutBlockers
0x101bc68c | 9 | ASCII | Settings
0x101bca30 | 8 | ASCII | Enabled
0x101bcab4 | 13 | ASCII | MaterialList
0x101bcac4 | 10 | ASCII | SceneInfo
0x101bcad0 | 11 | ASCII | GameModule
0x101bcae8 | 7 | ASCII | (None)
0x101bcaf0 | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101bcb1c | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101bcb78 | 167 | ASCII |  Error: %s, in: in->pMeshContainer->MeshData.pMesh->CloneMesh( in->pMeshContainer->MeshData.pMesh->GetOptions(), vertexFormat, RenderDevice::Instance()->dev, &pTemp )
0x101bcc20 | 215 | ASCII |  Error: %s, in: D3DXComputeTangentFrameEx( in->pMeshContainer->MeshData.pMesh, D3DDECLUSAGE_TEXCOORD, 0, D3DX_DEFAULT, 0, D3DDECLUSAGE_TANGENT, 0, D3DDECLUSAGE_NORMAL, 0, 0, NULL, -1.01f, -1.01f, -1.01f, &pNew, 0 )
0x101bcd00 | 11 | ASCII | Diffuse.fx
0x101bcd0c | 10 | ASCII | tDiffuse0
0x101bcd20 | 11 | ASCII | Diffuse.fx
0x101bcd2c | 10 | ASCII | tDiffuse0
0x101bcd38 | 19 | ASCII | DefaultTexture.dds
0x101bcd50 | 150 | ASCII |  Error: %s, in: D3DXLoadMeshHierarchyFromX( name.c_str(), D3DXMESH_MANAGED, RenderDevice::Instance()->dev, &Alloc, NULL, &g_pFrameRoot, &pController)
0x101bcde8 | 10 | ASCII | DXCC_ROOT
0x101bcdfc | 32 | ASCII | Model '%s' load took %f seconds
0x101bce4c | 6 | ASCII | 2_5_0
0x101bce54 | 15 | ASCII | xerces-c_2_5_0
0x101bce88 | 7 | ASCII | Shader
0x101bcedc | 19 | ASCII | Loading Material: 
0x101bcf20 | 8 | ASCII | Physics
0x101bcf8c | 7 | ASCII | Shader
0x101bcfd4 | 58 | ASCII | Material '%s' lacks shader, using Default Material values
0x101bd010 | 13 | ASCII | MaterialList
0x101bd020 | 6 | ASCII | Count
0x101bd028 | 9 | ASCII | Material
0x101bd034 | 6 | ASCII | index
0x101bd044 | 11 | ASCII | Collidable
0x101bd050 | 8 | ASCII | Physics
0x101bd058 | 9 | ASCII | Friction
0x101bd064 | 12 | ASCII | Restitution
0x101bd070 | 13 | ASCII | SortingOrder
0x101bd080 | 7 | ASCII | Shader
0x101bd090 | 10 | ASCII | Technique
0x101bd09c | 15 | ASCII | CollisionModel
0x101bd0cc | 9 | ASCII | GeomData
0x101bd0f4 | 31 | ASCII | Error reading sibling of frame
0x101bd114 | 15 | ASCII | CollisionModel
0x101bd144 | 9 | ASCII | GeomData
0x101bd150 | 15 | ASCII | CollisionModel
0x101bd180 | 15 | ASCII | CollisionModel
0x101bd190 | 7 | ASCII | NodeTM
0x101bd1c8 | 14 | ASCII | MaterialIndex
0x101bd1d8 | 9 | ASCII | GeomData
0x101bd2b0 | 14 | ASCII | CollisionData
0x101bd2c0 | 36 | ASCII | TODO: CollisionData not implemented
0x101bd2ec | 34 | ASCII | Error reading sibling of frame %s
0x101bd320 | 9 | ASCII | GeomData
0x101bd32c | 9 | ASCII | NodeType
0x101bd338 | 7 | ASCII | NodeTM
0x101bd360 | 51 | ASCII | Mat on mesh doesn't exist in scene Obj: %s Mat: %s
0x101bd394 | 19 | ASCII | No mats on Obj: %s
0x101bd3ac | 14 | ASCII | MaterialIndex
0x101bd3cc | 9 | ASCII | GeomData
0x101bd3d8 | 8 | ASCII | Include
0x101bd3e0 | 10 | ASCII | LoadScale
0x101bd3ec | 8 | ASCII | BBoxMin
0x101bd3f4 | 8 | ASCII | BBoxMax
0x101bd404 | 6 | ASCII | Moved
0x101bd40c | 9 | ASCII | Modified
0x101bd41c | 10 | ASCII | LightData
0x101bd438 | 12 | ASCII | Directional
0x101bd444 | 14 | ASCII | OmniProjector
0x101bd45c | 11 | ASCII | Properties
0x101bd470 | 6 | ASCII | Color
0x101bd480 | 6 | ASCII | value
0x101bd490 | 11 | ASCII | Multiplier
0x101bd4a4 | 6 | ASCII | value
0x101bd4b4 | 18 | ASCII | AttenuationFarEnd
0x101bd4d0 | 6 | ASCII | value
0x101bd4e0 | 8 | ASCII | Falloff
0x101bd4f0 | 6 | ASCII | value
0x101bd500 | 8 | ASCII | Hotspot
0x101bd510 | 6 | ASCII | value
0x101bd518 | 10 | ASCII | ShadowMap
0x101bd530 | 14 | ASCII | ProjectionMap
0x101bd548 | 10 | ASCII | LightData
0x101bd554 | 14 | ASCII | ProjectionMap
0x101bd570 | 10 | ASCII | LightData
0x101bd590 | 9 | ASCII | Targeted
0x101bd5a4 | 12 | ASCII | Directional
0x101bd5b0 | 20 | ASCII | TargetedDirectional
0x101bd5c4 | 14 | ASCII | OmniProjector
0x101bd5d4 | 10 | ASCII | ShadowMap
0x101bd5e4 | 14 | ASCII | ProjectionMap
0x101bd600 | 11 | ASCII | Properties
0x101bd618 | 6 | ASCII | Color
0x101bd638 | 11 | ASCII | Multiplier
0x101bd65c | 18 | ASCII | AttenuationFarEnd
0x101bd688 | 8 | ASCII | Falloff
0x101bd6a8 | 8 | ASCII | Hotspot
0x101bd6e0 | 6 | ASCII | Items
0x101bd7bc | 17 | ASCII | CustomProperties
0x101bd7d0 | 6 | ASCII | Actor
0x101bd7e4 | 11 | ASCII | GeomObject
0x101bd7f0 | 15 | ASCII | CollisionModel
0x101bd800 | 6 | ASCII | Light
0x101bd894 | 22 | ASCII | Loading Scene Actor: 
0x101bd8c0 | 7 | ASCII | NodeTM
