# Skipped 365 functions
# Format: address | function_name | reason
#================================================================================

0x1000e62d | ___FrameUnwindToState | library function
0x1000e70e | ?ExFilterRethrow@@YAHPAU_EXCEPTION_POINTERS@@@Z | library function
0x1000e753 | ___DestructExceptionObject | library function
0x1000e7a7 | ___AdjustPointer | library function
0x1000e7cc | ?IsInExceptionSpec@@YAEPAUEHExceptionRecord@@PBU_s_ESTypeList@@@Z | library function
0x1000e845 | ?CallUnexpected@@YAXPBU_s_ESTypeList@@@Z | library function
0x1000e88e | ?CallCatchBlock@@YAPAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PBU_s_FuncInfo@@PAXHK@Z | library function
0x1000ea2a | ___BuildCatchObjectHelper | library function
0x1000eba9 | ___BuildCatchObject | library function
0x1000ec3a | ?CatchIt@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@PBU_s_HandlerType@@PBU_s_CatchableType@@PBU_s_TryBlockMapEntry@@H1E@Z | library function
0x1000eca6 | ?FindHandlerForForeignException@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@HH1@Z | library function
0x1000ed98 | ?FindHandler@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@EH1@Z | library function
0x1000f106 | ___InternalCxxFrameHandler | library function
0x1000f1ea | ?terminate@@YAXXZ | library function
0x1000f223 | ?unexpected@@YAXXZ | library function
0x1000f236 | ?_inconsistency@@YAXXZ | library function
0x1000f26d | __initp_eh_hooks | library function
0x1000f280 | __CallSettingFrame@12 | library function
0x1000f2cc | ___report_gsfailure | library function
0x1000f3d0 | _fastzero_I | library function
0x1000f427 | __VEC_memzero | library function
0x1000f4b6 | __sse2_mathfcns_init | library function
0x1000f4d0 | __CIcos_pentium4 | library function
0x1000f4ee | start_2 | library function
0x1000f839 | __rttosnpopde | library function
0x1000f849 | chsifnegret | library function
0x1000f850 | __twoToTOS | library function
0x1000f865 | __load_CW | library function
0x1000f87c | __convertTOStoQNaN | library function
0x1000f895 | __fload_withFB | library function
0x1000f8d8 | __checkTOS_withFB | library function
0x1000f925 | __check_overflow_exit | library function
0x1000f9e0 | __startTwoArgErrorHandling | library function
0x1000f9f7 | __startOneArgErrorHandling | library function
0x1000fa40 | __CIsin_pentium4 | library function
0x1000fa5e | start_3 | library function
0x1000fc12 | __invoke_watson | library function
0x1000fd0e | __invalid_parameter | library function
0x1000fd32 | __vswprintf_helper | library function
0x1000fe28 | __vswprintf_c_l | library function
0x1000fe50 | __flush | library function
0x1000feb2 | __fflush_nolock | library function
0x1000fef4 | _flsall | library function
0x1000ffce | _fflush | library function
0x1001002a | _fwprintf | library function
0x100100be | _setvbuf | library function
0x100101c2 | ___initstdio | library function
0x10010273 | ___endstdio | library function
0x10010293 | __lock_file | library function
0x100102c2 | __lock_file2 | library function
0x100102e5 | __unlock_file | library function
0x10010314 | __unlock_file2 | library function
0x10010337 | __initp_misc_winsig | library function
0x10010350 | _siglookup | library function
0x10010391 | _raise | library function
0x100106df | _xtow_s@20 | library function
0x100107ce | __itow_s | library function
0x100107f8 | _wcsncat_s | library function
0x100108d9 | _wcsncpy_s | library function
0x100109a2 | _wcslen | library function
0x100109b8 | _wcscat_s | library function
0x10010a32 | _wcscpy_s | library function
0x10010a9e | __set_error_mode | library function
0x10010ae4 | __assert | library function
0x10011140 | _strcpy_s | library function
0x100111a5 | _strcat_s | library function
0x10011216 | __wcstombs_l_helper | library function
0x1001145c | __wcstombs_s_l | library function
0x1001150d | _wcstombs_s | library function
0x1001152b | __stbuf | library function
0x100115c1 | __ftbuf | library function
0x100115f0 | _write_char | library function
0x10011623 | _write_multi_char | library function
0x10011647 | _write_string | library function
0x10011691 | __output_l | library function
0x10012029 | __flsbuf | library function
0x10012190 | __alloca_probe | library function
0x100121bb | ??0exception@std@@QAE@ABQBD@Z | library function
0x10012209 | ??0exception@std@@QAE@ABQBDH@Z | library function
0x10012221 | ??0exception@std@@QAE@ABV01@@Z | library function
0x1001228f | ?what@exception@@UBEPBDXZ | library function
0x100122b8 | __onexit_nolock | library function
0x10012365 | ___onexitinit | library function
0x10012394 | __onexit | library function
0x100123d0 | _atexit | library function
0x100123e2 | __CxxThrowException@8 | library function
0x1001242c | __malloc_crt | library function
0x1001246c | __calloc_crt | library function
0x100124b4 | __realloc_crt | library function
0x100124ff | __ioinit | library function
0x1001273f | __ioterm | library function
0x1001278b | __setenvp | library function
0x10012866 | _parse_cmdline | library function
0x100129fe | __setargv | library function
0x10012ab7 | ___crtGetEnvironmentStringsA | library function
0x10012c35 | __XcptFilter | library function
0x10012da4 | ___CppXcptFilter | library function
0x10012dc5 | ___security_init_cookie | library function
0x10012e60 | _strrchr | library function
0x10012e8d | _CPtoLCID | library function
0x10012ebc | ?setSBCS@@YAXPAUthreadmbcinfostruct@@@Z | library function
0x10012f11 | ?setSBUpLow@@YAXPAUthreadmbcinfostruct@@@Z | library function
0x1001309b | ___updatetmbcinfo | library function
0x1001313f | ?getSystemCP@@YAHH@Z | library function
0x100131b9 | __setmbcp_nolock | library function
0x10013364 | __setmbcp | library function
0x100134fe | ___initmbctable | library function
0x1001351c | ___freetlocinfo | library function
0x1001365c | ___addlocaleref | library function
0x100136e2 | ___removelocaleref | library function
0x1001376e | __updatetlocinfoEx_nolock | library function
0x100137ac | ___updatetlocinfo | library function
0x10013822 | __isdigit_l | library function
0x10013871 | _isdigit | library function
0x1001389a | __tolower_l | library function
0x100139b1 | _tolower | library function
0x10013b30 | _memcpy | library function
0x10013ea0 | _strlen | library function
0x10013f2b | __fptostr | library function
0x10013fe8 | ___dtold | library function
0x100140a3 | __fltout2 | library function
0x10014140 | __alldvrm | library function
0x10014220 | __aullshr | library function
0x1001423f | __fptrap | library function
0x10014248 | __controlfp_s | library function
0x10014450 | _strncpy_s | library function
0x10014503 | __freea | library function
0x10014528 | ___crtInitCritSecNoSpinCount@8 | library function
0x10014538 | ___crtInitCritSecAndSpinCount | library function
0x10014600 | __local_unwind4 | library function
0x10014690 | __unwind_handler4 | library function
0x100146d6 | __seh_longjmp_unwind4@4 | library function
0x100146f2 | @_EH4_CallFilterFunc@8 | library function
0x10014722 | @_EH4_GlobalUnwind@4 | library function
0x1001473c | @_EH4_LocalUnwind@16 | library function
0x10014760 | __ValidateImageBase | library function
0x10014790 | __FindPESection | library function
0x100147d2 | __IsNonwritableInCurrentImage | library function
0x1001484b | ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z | library function
0x100148b7 | ?__CxxSetUnhandledExceptionFilter@@YAHXZ | library function
0x100148d8 | ?__CxxRestoreUnhandledExceptionFilter@@YAXXZ | library function
0x100148fc | __EH_prolog3_catch | library function
0x10014932 | unknown_libname_3 | library function
0x10014940 | __global_unwind2 | library function
0x10014960 | __unwind_handler | library function
0x100149a5 | __local_unwind2 | library function
0x10014a29 | __abnormal_termination | library function
0x10014a4c | __NLG_Notify1 | library function
0x10014a55 | __NLG_Notify | library function
0x10014a74 | __NLG_Call | library function
0x10014a7f | _has_osfxsr_set | library function
0x10014acf | __get_sse2_info | library function
0x10014b3c | __87except | library function
0x10014c38 | _write_char_0 | library function
0x10014c5d | _write_multi_char_0 | library function
0x10014c82 | _write_string_0 | library function
0x10014cd1 | __woutput_l | library function
0x100155e5 | __write_nolock | library function
0x10015bab | __write | library function
0x10015c87 | __fileno | library function
